s,p,o
http://edukb.org/knowledge/0.1/statement/math#1241,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#1287,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#57,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#884,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#14
http://edukb.org/knowledge/0.1/statement/math#889,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#14
http://edukb.org/knowledge/0.1/statement/math#1014,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1015,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1051,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1101,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1102,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1103,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1104,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1150,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1151,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1152,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1159,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1208,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1209,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1210,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1213,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1216,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1225,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1227,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#1228,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
http://edukb.org/knowledge/0.1/statement/math#123,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#16
